序号,题型,题库分类（大类）,题目分类（小类）,题干,选项A,选项B,选项C,选项D,答案,解释
442,判断题,国职游泳救生员初级,管理规范,游泳场馆中警示牌包含禁止跳水、印小心地滑、水温等内容。,错误,正确,-,-,A,印小心地滑、水温是告知牌内容
443,判断题,国职游泳救生员初级,管理规范,游泳场馆中须知牌包含的基本内容包括游泳者须知、游泳安全须知、游泳卫生须知。,错误,正确,-,-,A,不是卫生，是紧急抢救程序须知
444,判断题,国职游泳救生员初级,管理规范,游泳场所安全标志牌分为警示牌、告知牌须知牌。,错误,正确,-,-,B,
445,判断题,国职游泳救生员初级,管理规范,在开放泳池游泳活动中，游泳池通常会禁止游客进行跳水行为。,错误,正确,-,-,B,
446,判断题,国职游泳救生员初级,管理规范,游泳池场内必须设置“游泳安全须知“醒目的安全标志。,错误,正确,-,-,B,在公共场所，特别是在涉及人身安全的地方，设置安全标志是非常重要的。游泳池作为一个可能存在溺水风险的场所，设置“游泳安全须知“等醒目的安全标志，能够提醒游泳者注意安全，了解游泳的注意事项和规定，从而降低事故发生的概率
447,判断题,国职游泳救生员初级,管理规范,游泳场馆中的游泳场所的救生器材与药物必须有专人管理。,错误,正确,-,-,B,
448,判断题,国职游泳救生员初级,管理规范,救生浮标是国际上普遍采用的救生器材之一。,错误,正确,-,-,B,
449,判断题,国职游泳救生员初级,管理规范,对于只有50公分深的对外开放的小型游泳池不需要配备救生圈。,错误,正确,-,-,A,需要配游泳圈
450,判断题,国职游泳救生员初级,管理规范,救生器材包括救生杆。,错误,正确,-,-,B,
451,判断题,国职游泳救生员初级,管理规范,救生圈(球)也是游泳池内最常用的救生器材之一。,错误,正确,-,-,B,
452,判断题,国职游泳救生员初级,管理规范,救生圈规格中塑料制成儿童充气游泳圈是其中一种使用比较广泛的游泳救生用品。,错误,正确,-,-,A,不是充气，而是实心
453,判断题,国职游泳救生员初级,管理规范,游泳场所必须配备救生圈等急救器材。,错误,正确,-,-,A,救生圈不是急救器材，是救生器材。
454,判断题,国职游泳救生员初级,管理规范,救生器材一般包括救生观察台和其它急救器材。,错误,正确,-,-,A,救生器材是救生员用于观察并对受伤者、溺水者施救的必备工具，包括救生观察台和其他救生器材。这里不是急救器材
455,判断题,国职游泳救生员初级,管理规范,游泳场所应在明显位置上放置急救箱等救生器材。,错误,正确,-,-,A,急救器材、药品是游泳场所必须配置的，且必须是用于急救溺水者和伤病者所需的专业器材和药品，如脊柱固定板，急救氧气瓶，急救包(氧气发生器)，肢体固定夹板，人工复苏器，便携式人工呼吸面罩，护颈器，包扎带等，以及常用急救药品；急救箱是急救器材而不是救生器材；
456,判断题,国职游泳救生员初级,管理规范,游泳池救生观察台侧面必须与游泳池边沿垂直。,错误,正确,-,-,A,不是侧面，而是前边（即正面）
457,判断题,国职游泳救生员初级,管理规范,为了避免形成观察死角，观察台的前边不必与游泳池边垂直摆放。,错误,正确,-,-,A,教材原话；观察台前边与游泳池边垂直摆放
458,判断题,国职游泳救生员初级,管理规范,救生观察台的高度在2m左右。,错误,正确,-,-,B,观察台的高度应在1.5m以上。这里描述2m，是正确的
459,判断题,国职游泳救生员初级,管理规范,救生员的装备是包括统一着装、救生哨、急救腰包等。,错误,正确,-,-,B,
460,判断题,国职游泳救生员初级,管理规范,游泳救生员必须统一着装，一般救生服装都是颜色鲜艳容易识别的红、黄或橙红色。,错误,正确,-,-,B,游泳救生员必须穿着统一服装，一般救生员服装都是颜色鲜艳容易识别的红色、黄色或橙红色，发生溺水事故可以让游泳者一目了然
461,判断题,国职游泳救生员初级,管理规范,游泳救生员个人的装备应由游泳救生员统一管理，确保满足上岗要求。,错误,正确,-,-,B,
462,判断题,国职游泳救生员初级,管理规范,游泳救生员只要统一服装就可以，不必要求其款式和颜色。,错误,正确,-,-,A,一般救生服装都是颜色鲜艳容易识别的红、黄或橙红色。
463,判断题,国职游泳救生员初级,管理规范,游泳救生员当值时，穿着统一服装，不但有助于塑造专业形象，更便于执行救生任务。,错误,正确,-,-,B,
464,判断题,国职游泳救生员初级,管理规范,一般情况下游泳救生员连续上岗时间不应超过4小时。,错误,正确,-,-,A,不超过2小时
465,判断题,国职游泳救生员初级,管理规范,游泳救生员上岗必须配备急救腰包。,错误,正确,-,-,B,游泳救生员在进行救护工作时，配备急救腰包是非常必要的，因为在水上突发情况下能够迅速使用急救用品对被救护者进行紧急处理提高救援效率，减少事故损失。
466,判断题,国职游泳救生员初级,管理规范,按水域面积配置游泳救生员岗位一般多用于50米标准或25米半标准游泳池。,错误,正确,-,-,A,按泳池面积来算救生员岗位
467,判断题,国职游泳救生员初级,管理规范,在水面面积500m2的泳池，应至少配备三名游泳救生员。,错误,正确,-,-,A,每增加250m2增加1名，500m2至少4名
468,判断题,国职游泳救生员初级,管理规范,在标准游泳场所，水面面积在250平方米以下的泳池，应至少配备二名救生员。,错误,正确,-,-,A,至少3名，不是2名
469,判断题,国职游泳救生员初级,管理规范,事故发生及处理过程，救生员可以对外发表自己的意见和事故处理结果。,错误,正确,-,-,A,不可以；由指定发言人对外宣布事故情况及处理和结果
470,判断题,国职游泳救生员初级,管理规范,遇到事故时，救生员可以对外随意发表自己的个人意见。,错误,正确,-,-,A,不可以：由指定发言人对外宣布事故情况及处理和结果。
471,判断题,国职游泳救生员初级,管理规范,应急预案的内容包括确定现场指挥者和实施抢救人员的分工。,错误,正确,-,-,B,
472,判断题,国职游泳救生员初级,管理规范,对外公开意外事故的处理意见是由救生组长决定的。,错误,正确,-,-,A,由指定发言人对外宣布事故发生情况、处理过程和结果
473,判断题,国职游泳救生员初级,管理规范,游泳池安全应急预案包括溺水事故预案、开放性受伤预案、脊柱受伤事故预案、企业信用危机预案、地震及其他灾害预案等。,错误,正确,-,-,A,没有企业信用危机预案，应是雷雨天气预案
1,单选题,国职游泳救生员初级,历史常识,国际救生协会成立于()年。,1891,1910,1993,1998,C,p2
2,单选题,国职游泳救生员初级,历史常识,中国救生协会于2007年加入()联合会。,国际游泳,国际竞赛,国际体育,国际救生,D,p2；关键词“救生”
3,单选题,国职游泳救生员初级,历史常识,最早成立水上救生组织的国家的是()。,澳大利亚,英国,美国,比利时,B,p2；英国皇家救生协会建于1819年，是最早的
4,单选题,国职游泳救生员初级,历史常识,()成立了英国皇家救生协会。,1891年,1819年,1918年,1981年,B,p2；英国皇家救生协会建于1819年。
5,单选题,国职游泳救生员初级,历史常识,国际救生协会的英文缩写为()。,FIS,ILS,WLS,WHO,B,p2；International Life Saving简称:ILS
6,单选题,国职游泳救生员初级,历史常识,国际救生协会于1993年2月23日在()成立。,美国,比利时,法国,英国,B,p2
7,单选题,国职游泳救生员初级,历史常识,据记载，()是我国古代救生事业起步最早的滨江城市之一。,福建厦门,湖北武汉,广东湛江,江苏镇江,D,p3；据记载，江苏省镇江市是我国古代救生事业起步最早的滨江城市之一。
8,单选题,国职游泳救生员初级,历史常识,我国()时期在镇江西津渡创办的“救生会”救生船只的颜色为红色。,唐朝,明朝,南宋,北宋,C,p3；早南宋时期，镇江西津渡就是一个重要的长江港口，水上交通发达，溺水事故也经常发生。蔡洸使用的船只均涂成红色，故又称之为'救生红船”
9,单选题,国职游泳救生员初级,历史常识,我国明清朝的救生员是在()水域的上游进行救生活动。,鸭绿江,黄河,长江,松花江,C,p3：到了明清时期，官方在交通要道设立了专门的救生人员，特别是针对长江上游险滩建立了一套完整的救生管理体系。
10,单选题,国职游泳救生员初级,历史常识,我国明清时期，官方在交通要道设立了专门的救生人员，特别是针对()上游险滩建立了一套完整的救生管理体系。,松花江,黄河,鸭绿江,长江,D,p3；到了明清时期，官方在交通要道设立了专门的救生人员，特别是针对长江上游险滩建立了一套完整的救生管理体系。
11,单选题,国职游泳救生员初级,历史常识,中国救生协会成立的时间是()。,1999,2000,2004,2005,D,p4：中国救生协会是2005年成立，2007年加入国际救生联合会。
12,单选题,国职游泳救生员初级,历史常识,()，我国在杭州举办第一批游泳救生员考评员培训班。,2007年11月,2008年4月,2007年12月,2008年5月,D,p4
13,单选题,国职游泳救生员初级,历史常识,()游泳救生员成为劳动和社会保障部正式向社会发布的新职业之一。,2009年5月,1999年10月,2007年11月,1998年1月,C,p4
14,单选题,国职游泳救生员初级,历史常识,人力资源和社会保障部()正式向社会公布将游泳救生纳入国家职业范畴。,2004年9月,2008年4月,2008年10月,2007年11月,D,p4
15,单选题,国职游泳救生员初级,历史常识,解放后，我国最早成立水上救生组织的省市是()。,北京,天津,上海,广州,C,p4：1979年，上海率先成立了我国第一个水上救生组织(上海市游泳救生委员会)
16,单选题,国职游泳救生员初级,基础常识,游泳救生可分为游泳池救生和(),静水水域救生,公开水域救生,自然水域救生,海浪水域救生,C,p5
17,单选题,国职游泳救生员初级,基础常识,游泳救生员可分为()和自然水域救生。,静水,海浪,游泳池,人工水库,C,p5
18,单选题,国职游泳救生员初级,基础常识,游泳救生是一项拯溺救难的高尚事业，是人道主义和精神文明建设的()。,具体表现,个体表现,综合表现,整体表现,A,p5
19,单选题,国职游泳救生员初级,基础常识,游泳教生员工作中，防字当头，()是消除一切可能发生事故隐患的基础和保障。,施救准确,团结协作,同心同德,贯彻始终,D,p5；防字当头，贯彻始终
20,单选题,国职游泳救生员初级,基础常识,团队救生时能发挥集体的力量和()，在救助的时间上会更快，在抢救操作上会更准有效。,精神,作用,智慧,技术,C,p6
21,单选题,国职游泳救生员初级,基础常识,游泳救生员的()是一项拯溺救难、救人生命的崇高事业。,工作宗旨,指导思想,职业性质,工作定义,C,p6；职业性质
22,单选题,国职游泳救生员初级,基础常识,游泳救生员的职业性质()。,是坚持以人为本，努力构建和谐社会的重要方面,是“三个代表”的具体行动,是一项拯溺救难、救人生命的崇高事业,是人道主义和精神文明建设的具体表现,C,p6；职业性质
23,单选题,国职游泳救生员初级,基础常识,游泳救生的工作宗旨是()。,同心协力，拯溺救难,专研业务，勤于进取,专心致志，忠于职守,服务周到，举止文明,A,工作宗旨
24,单选题,国职游泳救生员初级,基础常识,游泳救生工作的指导思想是()。,以防为主，施救要准,防救结合，快速准确,判断准确，抢救得力,迅速高效，抢救溺者,A,p6
25,单选题,国职游泳救生员初级,基础常识,()，尽职尽责是与游泳救生员的工作态度和工作质量有着直接联系的道德要求。,遵纪守法,热情服务,钻研业务,团结协作,B,p7；热情服务也可以描述热忱服务
26,单选题,国职游泳救生员初级,基础常识,以下行为不符合救生员职业道德的是()。,珍惜生命，乐于奉献,科学文明，相信迷信,专研业务，勤于进取,团结协作，相互尊重,B,p7；没有相信迷信选B
27,单选题,国职游泳救生员初级,基础常识,游泳救生员的职业道德规范包括:珍惜生命、乐于奉献;热忱服务、尽职尽责;钻研业务、勤于进取;();遵纪守法、诚实待人;等五个方面。,遇事不乱、乐于奉献,全心全意、拯溺救难,团结协作、互相尊重,精神饱满、实事求是,C,p7
28,单选题,国职游泳救生员初级,基础常识,珍惜生命，()这是每个游泳救生员做好本职工作和履行其道德义务的前提。,互相尊重,钻研业务,乐于奉献,科学文明,C,p7
29,单选题,国职游泳救生员初级,基础常识,游泳初学者李某向正在职岗的游泳救生员孙某请教游泳知识，孙某热情详细的为李某进行介绍和示范。孙某的行为()。,违反了救生员“救助及时，分秒必争”的职业守则,体现了救生员“服务周到，举止文明“的职业守则,违反了救生员”忠于职守，认真履职”的职业守则,能使游泳者获得好的体验，值得鼓励,C,p8；做了跟本职无关事情，不忠于职守，没有认真履职。选C
30,单选题,国职游泳救生员初级,基础常识,游泳救生员的职业守则是游泳救生员所必须遵循的()。,行为要求,行为内容,工作依据,行为准则,D,p8；行为标准或行为准则
31,单选题,国职游泳救生员初级,基础常识,救生员在自己的岗位上，不应当()。,明确自己的责任区，思想高度集中,不间断的扫视、环视自己所负责的责任区,浏览手机消息,对老年人等特殊人群重点关注,C,"严守岗位“九不准"":不使用手机,"
32,单选题,国职游泳救生员初级,基础常识,游泳救生工作的中心是()。,安全,救生器材齐备,救生员配各充足,急救器材先进,A,p8
33,单选题,国职游泳救生员初级,技能知识,踩水技术在水中拖带溺者的救助工作中起着(),一般作用,不可替代的作用,辅助作用,重要作用,D,踩水在水中观察、寻找、接近、拖带溺水的救助工作起着重要作用
34,单选题,国职游泳救生员初级,技能知识,两腿交替蹬夹水时，腿的蹬水及收回路线基本呈()。,椭圆形,三角形,字形,四边形,A,p12椭圆形
35,单选题,国职游泳救生员初级,技能知识,关于采用两腿同时蹬夹水配合时腿与手臂的技术要点，以下说法正确的是()。,两腿做蹬夹水动作的同时，两手做向外的摸水动作,两腿做完蹬夹水动作，两手做向外的摸水动作,两腿做蹬夹水动作之前，两手做向外的摸水动作,两腿做蹬夹水动作的同时，两手做向内的摸水动作,A,两腿做蹬夹水动作的同时，两手做向外的摸水动作
36,单选题,国职游泳救生员初级,技能知识,在施救过程中，踩水技术()。,便于观察水面情况，不适合做前后、左右方向的移动,不便于观察水面情况，不适合做前后、左右方向的移动,不便于观察水面情况，可做前后、左右方向的移动,便于观察水面情况，可做前后、左右方向的移动,D,踩水便于观察水面情况和向前、后、左右方向移动。
37,单选题,国职游泳救生员初级,技能知识,在施救过程中，踩水技术()观察水面情况，()、左右方向的移动。,不便于;不适合做前后,便于;可做前后,不便于:可做前后,便于;不适合做前后,B,踩水便于观察水面情况和向前后、左右方向移动。
38,单选题,国职游泳救生员初级,技能知识,踩水技术动作()、方便、省力、能持久，具有较大的实用价值。,难掌握,复杂,简单,易学,C,p12
39,单选题,国职游泳救生员初级,技能知识,踩水技术的缺点是()。,简单,方便,省力,移动速度慢,D,p12；移动速度慢
40,单选题,国职游泳救生员初级,技能知识,踩水时，()，头露出水面。,俯卧于水中,身体直立水中，稍前倾,仰卧于水中,身体直立水中，稍后倾,B,踩水时，身体直立水中，稍前倾，头露出水面
41,单选题,国职游泳救生员初级,技能知识,踩水时，身体直立水中()露出水面。,稍后倾，头,稍前倾，头,稍前倾，肩部,稍后倾，肩部,B,踩水时，身体直立水中，稍前倾，头露出水面
42,单选题,国职游泳救生员初级,技能知识,关于踩水的身体姿势，以下描述正确的是(),踩水时身体仰卧于水中，头露出水面,踩水时身体直立于水中，稍后倾，头露出水面,踩水时身体直立，水中稍前倾，头露出水面,踩水时身体侧卧于水中，头露出水面,C,踩水时，身体直立水中，稍前倾，头露出水面
43,单选题,国职游泳救生员初级,技能知识,采用两腿同时蹬夹水技术踩水时，同蛙泳腿的动作相似，()当两腿还未完全蹬直时收腿，动作要连贯。,但大腿动作的幅度较小，用小腿和脚外侧向侧下方蹬夹水,但大腿动作的幅度较大，用小腿和脚内侧向侧下方蹬夹水,但大腿动作的幅度较小，用小腿和脚内侧向侧下方蹬夹水,但大腿动作的幅度较大，用小腿和脚外侧向侧下方蹬夹水,C,p12；两腿同时向下蹬夹水的动作同蛙泳时腿的动作相似，但大腿动作幅度较小，用小腿和脚内侧向侧下方蹬夹水，当两腿未完全蹬直时再次收腿，动作连贯。
44,单选题,国职游泳救生员初级,技能知识,踩水时腿部的技术动作有两种，一种是两腿交替蹬夹水，另一种是()。,两腿交替上下打水,两腿同时蹬夹水,双腿同时上下打水,两腿交替前后打水,B,p12；记忆:两腿蹬夹水一个同时，一个交替
45,单选题,国职游泳救生员初级,技能知识,关于踩水的腿部技术的分类，以下描述正确的是()。,踩水时腿部的技术动作有三种，一种是两腿交替打水，一种是两腿交替蹬夹水，另一种是两腿同时蹬夹水,踩水时腿部的技术动作有两种，一种是两腿交替打水，另一种是两腿同时蹬夹水,踩水时腿部的技术动作有两种，一种是两腿交替蹬夹水，另一种是两腿同时蹬夹水,踩水时腿部的技术动作有三种，一种是两腿交替打水，一种是两腿做剪水，另一种是两腿同时蹬夹水,C,p12；记忆:两腿蹬夹水一个同时，一个交替
46,单选题,国职游泳救生员初级,技能知识,踩水时两臂向外摸水时掌心稍()，向内摸水时掌心稍向内。,向后,向前,向内,向外,D,p12；踩水两臂向外摸水时掌心稍向外，向内水时掌心稍向内
47,单选题,国职游泳救生员初级,技能知识,踩水时两臂()手掌要有压水的感觉，两手摸水路线呈弧形。,向外摸水时掌心稍向外，向内摸水时掌心稍向内,向外摸水时掌心稍向外，向内摸水时掌心稍向外,向外摸水时掌心稍向内，向内摸水时掌心稍向内,向外摸水时掌心稍向内，向内摸水时掌心稍向外,A,p12:踩水两臂向外摸水时掌心稍向外，向内摸水时掌心稍向内
48,单选题,国职游泳救生员初级,技能知识,采用两腿同时蹬夹水的踩水配合，通常是(),两腿做完蹬夹水动作两手做向外的摸水动作,两腿做蹬夹水动作的同时，两手做向内的摸水动作,两腿做蹬夹水动作的同时，两手做向外的摸水动作,两腿做蹬夹水动作之前，两手做向外的摸水动作,C,p12:通常两腿做蹬夹水动作的同时，两手做向外的摸水动作
49,单选题,国职游泳救生员初级,技能知识,踩水时，腿和臂配合动作的比例是()。,0.042361111,0.084027778,0.04375,0.043055556,A,p12；腿和臂配合比例是1:1；两腿各蹬夹一次，或两腿同时蹬夹一次，两手做一次摸水动作
50,单选题,国职游泳救生员初级,技能知识,踩水腿和臂配合动作的技术，腿和臂配合动作要连贯，一般是()。,两腿各蹬夹一次，或两腿同时蹬夹一次，两手做两次摸水动作,两腿各蹬夹一次，或两腿同时蹬夹一次，两手做一次摸水动作,两腿各蹬夹一次，或两腿同时蹬夹两次，两手做一次摸水动作,两腿各蹬夹两次，或两腿同时蹬夹两次，两手做两次摸水动作,B,p12
51,单选题,国职游泳救生员初级,技能知识,关于踩水时的呼吸节奏，以下说法正确的是(),随着腿、臂动作的节奏自然呼吸,蹬两次腿吸一次气,划两次手吸一次气,快速呼吸,A,p13；踩水时，要随着腿、臂动作节奏自然呼吸。
52,单选题,国职游泳救生员初级,技能知识,踩水时，呼吸要自然，随着()呼吸。,腿动作的节奏急促,腿、臂动作的节奏急促,臂动作的节奏自然地,腿、臂动作的节奏自然地,D,踩水时，要随着腿、臂动作节奏自然呼吸。
53,单选题,国职游泳救生员初级,技能知识,用踩水技术向前游进时，()。,身体要略前倾，腿向侧方蹬水，两臂向后拨水,身体要略后倾，腿稍向后侧蹬水，两臂向后拨水,身体要略前倾，腿稍向后侧蹬水，两臂向后拨水,"身体要略前倾，腿稍向后侧蹬水,两臂两侧拨水",C,p12
54,单选题,国职游泳救生员初级,技能知识,反蛙泳技术动作具有简易、游起来既()又能持久的特点。,快速,方便,自如,省力,D,p13；反蛙泳动作简单，省力又持久
55,单选题,国职游泳救生员初级,技能知识,反蛙泳技术动作简易游起来省力又持久。在救助溺者时，一般可用()进行拖带。,夹胸,抓头发,托颈,托腋,D,p13:托腋是双手托住溺水者，腿部用反蛙泳腿
56,单选题,国职游泳救生员初级,技能知识,反蛙泳蹬腿时两膝约宽于肩，脚和()向后方对准蹬水方向。,小腿内侧,大腿内侧,小腿外侧,大腿外侧,A,p14；小腿内侧向后方对准蹬水方向
57,单选题,国职游泳救生员初级,技能知识,反蛙泳腿的动作(),类似踩水腿,救生踩水腿,类似蛙泳腿,救生蛙泳腿,C,p14；反蛙泳腿的动作类似蛙泳腿的动作
58,单选题,国职游泳救生员初级,技能知识,反蛙泳臂动作技术，两臂自然伸直同时经空中在()使手和前臂对准划水方向，用力在体侧划水。,肩后入水，然后屈臂高肘，掌心向前,肩前入水，然后屈臂高肘，掌心向前,肩后入水，然后屈臂高肘，掌心向后,肩前入水，然后屈臂高肘，掌心向后,D,p14；两臂自然直径经空中在肩前入水，然后屈臂高肘，掌心向后
59,单选题,国职游泳救生员初级,技能知识,反蛙泳的手臂技术为两臂()，手和前臂对准划水方向，用力在体侧划水。划水结束后，两臂在体侧稍停顿，使身体向前滑行，然后两臂自然放松从空中向前移臂。,自然伸直经空中在肩前入水，然后屈臂高肘，掌心向内,自然伸直经空中在肩前入水，然后屈臂高肘，掌心向外,自然伸直经空中在肩两侧入水，然后屈臂高时，掌心向后,自然伸直经空中在肩前入水，然后屈臂高肘，掌心向后,D,p14；两臂自然直径经空中在肩前入水，然后屈臂高肘，掌心向后
60,单选题,国职游泳救生员初级,技能知识,反蛙泳臂腿呼吸配合的比例为(),0.042372685,0.084039352,0.04306713,0.042384259,A,p14；腿、臂与呼吸配合比例是1:1:1，即一次蹬腿、一次划臂、一次呼吸
61,单选题,国职游泳救生员初级,技能知识,反蛙泳配合动作，两臂前移的同时，()。,边收边分快收腿,先收后分慢收腿,边收边分慢收腿,先收后分快收腿,C,p14；边收边分慢收腿
62,单选题,国职游泳救生员初级,技能知识,使用反蛙泳配合技术时，()动作之后身体自然滑行。,腿做一次、臂做两次,腿、臂各做两次,腿、臂各做一次,腿做两次、臂做一次,C,p14；腿、臂与呼吸配合比例是1:1:1，即一次蹬腿、一次划臂、一次呼吸
63,单选题,国职游泳救生员初级,技能知识,关于反蛙泳的完整配合技术的分类，以下以下说法正确的是()。,反蛙泳的完整配合技术有两种。一种是手划水与腿蹬夹水(移臂与收腿)同时进行，另一种是手划水和腿前后交替打水,反蛙泳的完整配合技术有两种。一种是手划水与腿蹬夹水(移臂与收腿)同时进行，另一种是手划水和腿蹬夹水交替进行,反蛙泳的完整配合技术有三种。第一种是手划水与腿蹬夹水(移臂与收腿)同时进行，第二种是手划水和腿前后交替打水，第三种是手划水和腿蹬夹水交替进行,反蛙泳的完整配合技术有两种。一种是手划水与腿蹬夹水(移臂与收腿)同时进行，另一种是手划一次水和腿蹬夹水两次交替进行,B,p14；反蛙泳的完整配合技术
64,单选题,国职游泳救生员初级,技能知识,侧泳技术具有速度快、动作()的特点。,自如省力,效果好,方便,简易,A,p14；动作自如省力
65,单选题,国职游泳救生员初级,技能知识,侧泳技术特点是()。,速度快，动作自如费力,速度慢，动作自如费力,速度快，动作自如省力,速度慢，动作自如省力,C,p14；动作自如省力，速度快
66,单选题,国职游泳救生员初级,技能知识,侧泳时身体侧卧水中，稍向胸侧倾斜与水平面成()度角。,15-20,45945,20-30,45787,B,p14； 10°~15°
67,单选题,国职游泳救生员初级,技能知识,侧泳时身体侧卧水中，稍向胸侧倾斜与水平面成10°~15°夹角，头的下半部没入水中，下面的臂向前伸，上面的臂置于()，在游进时绕身体的()转动。,体侧，横轴,体前，横轴,体前，纵轴,体侧，纵轴,D,p14；侧泳的身体姿势
68,单选题,国职游泳救生员初级,技能知识,侧泳时头的下半部没在水中，下面的臂()上面的臂置于( )。,前屈，体侧,垂直，体侧,前伸，胸前,前伸，体侧,D,p14；侧泳的身体姿势
69,单选题,国职游泳救生员初级,技能知识,侧泳的收腿动作为上面腿屈髋、提膝向前收，大腿与躯干成90°左右，小腿与大腿成45°~60°。()，足跟靠近臀部。,下面的腿髋关节伸展，膝关节尽量伸直,下面的腿髋关节屈曲，膝关节尽量伸直,下面的腿髋关节伸展，小腿向后收，膝关节尽量弯曲,下面的腿髋关节屈曲，小腿向后收，膝关节尽量弯曲,C,p15；侧泳的腿部技术
70,单选题,国职游泳救生员初级,技能知识,侧泳收做收腿动作时，大腿与躯干成()度角，小腿与大腿成()度角。,80、45-60,90、50-60,90、45-60,100、45-60,C,p15:侧泳的腿部技术
71,单选题,国职游泳救生员初级,技能知识,侧泳做翻脚动作时，下面的腿将脚尖绷直脚和()对准蹬水方向。,大腿正面向后,大腿正面向侧,小腿正面向侧,小腿正面向后,D,p15；脚和小腿正面向后对准蹬水方向
72,单选题,国职游泳救生员初级,技能知识,侧泳上面臂划水动作与爬泳臂划水动作相似，不同的是上面的臂前移时，上体绕身体的轴略有转动，这样就使两肩连线与垂直线之间的角度增大到()。,45-55度角,50-55度角,45-50度角,40-50度角,C,p15；45°~50°
73,单选题,国职游泳救生员初级,技能知识,侧游时下面臂的动作分为()。,基本姿势、滑下、划水和臂前移四个阶段,基本姿势、入水、划水和臂前移四个阶段,准备姿势、入水、划水和臂前移四个阶段,准备姿势、滑下、划水和臂前移四个阶段,D,p15:侧泳时下面臂的动作分为:准备姿势、滑下、划水和臂前移4个阶段
74,单选题,国职游泳救生员初级,技能知识,侧泳臂与呼吸的配合技术中，上面臂开始划水时，逐渐呼气，臂划到()转头吸气。,肩前做抱水,肩下做抱水,腹下做推水,推水结束,C,p16；上面臂开始划水时，逐渐呼气，臂划到腹下推水时转头吸气。
75,单选题,国职游泳救生员初级,技能知识,侧泳呼吸是在上面臂开始划水时，()，臂划到腹下做推水时()，移臂和入水时，头还原并闭气。,逐渐呼气，转头吸气,立刻呼气，转头吸气,立刻呼气，抬头吸气,逐渐呼气，抬头吸气,A,p16；上面臂开始划水时，逐渐呼气，臂划到腹下推水时转头吸气，移臂和入水时，头还原并闭三
76,单选题,国职游泳救生员初级,技能知识,在侧泳的完整配合中，两腿蹬剪水后，(),在上面臂划水结束与下面臂前伸时，动作应连续不断,在上面臂划水时与下面臂前伸时，应有短暂的滑行动作,在上面臂划水结束与下面臂前伸时，应有短暂的滑行动作,在上面臂划水结束与下面臂划水时，应有短暂的滑行动作,C,p16；腿、臂和呼吸完整配合动作
77,单选题,国职游泳救生员初级,技能知识,侧泳的完整配合动作是两腿跟剪水()两臂各划水()，呼吸()。,"一次,一次,一次","一次,两次,两次","一次,一次,两次","两次,两次,两次",A,p16；腿、臂和呼吸的配合比例是1:1:1，即两腿蹬剪水一次，两臂各划水一次，呼吸一次。
78,单选题,国职游泳救生员初级,技能知识,潜游泳为拯救()挽救其生命争取时间，在救生工作中起着重要作用。,沉底的溺者,精神紧张的溺水者,意识不清的溺者,在水中挣扎的溺者,A,p16；潜泳常用于水下搜寻、救助溺水者。沉底就是水下意思
79,单选题,国职游泳救生员初级,技能知识,关于潜泳技术，以下说法正确的是(),潜泳是潜在水中进行游泳的一种技术，具有一定的危险性和简易性,潜泳是潜在水中进行游泳的一种技术，具有一定的危险性和复杂性,潜泳是潜在水中进行游泳的一种技术，具有一定的安全性和复杂性,潜泳是潜在水中进行游泳的一种技术，较为简单易学,B,p16；潜泳具有一定危险性和复杂性
80,单选题,国职游泳救生员初级,技能知识,人体在水中采用两腿朝下潜深法下潜时，身体保持直立，头在上，脚朝下，两臂做()的推水动作使身体下沉，不在下潜过程中要时刻注意耳压。,左右拨水的动作,曲线划水的动作,自上而下的推水动作,自下而上的推水动作,D,p16；腿朝下潜深时，两臂是自下而上推水，人有一个沉的力
81,单选题,国职游泳救生员初级,技能知识,关于潜深技术的入水方法，以下说法正确的是(),潜深技术的入水方法主要有蛙式潜泳、蛙式长划臂潜泳和蝶式潜泳,潜深技术的入水方法主要有蛙式潜泳、蛙式长划臂潜泳和仰式潜泳,潜深技术的入水方法主要有腿朝下潜法和头朝下潜法,潜深技术的入水方法主要有腿朝下潜法、蛙式长划臂潜泳和爬式潜泳,C,p16；潜深分两腿朝下和头朝下
82,单选题,国职游泳救生员初级,技能知识,潜深时入水身体姿势为水平姿势有()潜深法、()潜深法。,两腿朝下、团身,团身、头先朝下,蛙式、蛙式长划臂,两腿朝下、头先朝下,D,p16；潜深分两腿朝下和头朝下
83,单选题,国职游泳救生员初级,技能知识,蛙式潜泳是在水下用蛙泳游进的一种技术。在游进中头与躯干始终保持水平姿势，为了避免身体()，头的位置应稍()于蛙泳头的位置，头与躯干成一直线。,下沉，高,上浮，低,下沉，低,上浮，高,B,p16；避免身体上浮，头位置稍低于蛙泳头的位置狳轻柠縉閪家头于躯干成一直线
84,单选题,国职游泳救生员初级,技能知识,蛙式潜泳在潜远时，头的位置应稍低于()的位置，头与()成一直线。,仰泳头，躯干,爬泳头，躯干,蛙泳头，躯干,蛙泳头，胸部,C,p16:避免身体上浮，头位置稍低于蛙泳头的位置，头于躯干成一直线
85,单选题,国职游泳救生员初级,技能知识,蛙式长划臂蛙泳腿和臂配合动作()。,收腿与臂前伸的动作几乎同时开始,先收腿然后臂前伸,臂前伸然后收腿,臂前伸滑行后收腿,A,p17:腿和臂的配合动作:收腿与臂前伸的动作几乎同时开始
